t,i
770080,0
770690,0
771301,-1
771972,3
772552,3
773101,-1
773742,-1
774414,-7
775085,-38
775756,-38
776458,-22
777160,-118
777923,-118
778625,-7
779235,-4
779937,-4
780639,1
781128,1
781677,-7
782379,-6
783081,-6
783722,-14
784423,-11
785095,-11
785736,-43
786377,-43
787048,-68
787780,-3
788421,-3
789154,-2
789795,1
790313,1
790924,-4
791626,-4
792236,-5
792938,0
793548,0
794128,-4
794860,-4
795501,-220
796112,-194
796814,-194
797515,-161
798217,4
798858,4
799469,0
800079,0
800628,2
801178,2
801727,-7
802429,-10
803009,-10
803741,12
804321,12
804870,-9
805603,-2
806213,-2
806945,-40
807647,-5
808288,-5
808990,0
809570,0
810119,17
810791,-8
811431,-8
812164,12
812744,12
813324,-5
813964,-36
814605,-36
815307,-190
815918,-190
816589,-270
817382,-160
818084,-11
818725,-11
819427,-4
820159,-2
820922,-2
821563,-5
822204,-5
822845,-3
823547,-6
824188,-6
824920,-1
825531,-96
826171,-96
826843,-164
827575,-91
828216,-91
828918,-5
829589,-5
830291,0
830902,-1
831604,-1
832214,-7
832946,-2
833587,-2
834289,-2
835022,-17
835632,-17
836334,-17
836944,-17
837616,-18
838226,-1
838928,-1
839630,-3
840240,-1
840972,-1
841644,-8
842315,-5
842987,-5
843780,-2
844482,-9
845092,-9
845855,-51
846588,-137
847229,-137
847900,-112
848571,-112
849212,13
849762,-4
850433,-4
851104,-11
851745,11
852325,11
852874,-1
853485,-1
854156,6
854705,6
855316,-5
855926,-42
856597,-42
857299,-19
857971,-19
858612,-3
859344,1
859863,1
860473,-7
861175,-7
861908,-9
862548,-11
863189,-11
863861,-17
864502,12
865020,12
865631,-26
866302,-26
866973,-252
867645,-130
868316,-130
869018,1
869567,1
870117,-5
870880,5
871521,5
872070,-6
872741,-6
873443,-4
874023,-2
874725,-2
875427,-222
876159,-187
876892,-187
877533,-204
878143,13
878753,13
879333,-9
879943,-9
880737,-2
881439,-12
882171,-12
882904,-2
883545,14
884124,14
884735,-2
885406,-123
886077,-123
886718,-67
887451,-67
888153,-49
888794,-5
889404,-5
890014,5
890625,5
891204,-4
891876,6
892486,6
893005,9
893554,9
894043,-4
894744,-4
895385,-214
896057,-119
896789,-119
897430,-247
898162,-9
898773,-9
899444,-4
900085,-4
900848,-5
901580,-3
902221,-4
902862,-4
903534,2
904083,2
904693,-8
905395,-2
906036,-2
906799,-14
907470,-4
908172,-4
908905,-9
909545,-9
910156,-1
910797,-8
911499,-8
